Book_ID,Title,Author,Genre,Published_Year,Cost_Price,Sale_Price,Stock,Rating,Reviews,Format,Publisher
B467821,Minute send very executive.,Todd Davis MD,Fiction,1994-12-23,28.38,33.73,58,4.9,427,Paperback,HarperCollins
B783941,Participant among partner chair.,Ronald Pierce,Science Fiction,2021-08-19,19.59,28.44,351,4.5,3334,Paperback,HarperCollins
B386294,Far ok success focus.,Mary Munoz,Romance,2016-02-05,23.26,26.33,181,4.0,1503,Hardcover,HarperCollins
B302287,Bring still anything almost.,Tristan Carson,Science Fiction,2000-09-18,8.31,10.01,43,4.1,3806,Hardcover,HarperCollins
B673502,And piece interesting fly free.,Victoria Collins,Romance,2022-11-28,29.97,34.01,87,3.6,2605,Hardcover,HarperCollins
B488650,Then simple away environment.,Anthony Gutierrez,Mystery,1976-02-27,16.91,21.68,120,4.2,1769,Hardcover,Simon & Schuster
B621104,Reflect still hand.,William Stone,Romance,2009-12-20,26.49,35.79,367,4.3,3150,Audiobook,Simon & Schuster
B953693,Determine moment experience fact assume.,Paul Howard,Mystery,2022-04-25,6.01,8.72,223,4.9,4335,Paperback,Simon & Schuster
B538744,Blood process most research.,Rodney Hall,Fantasy,2000-03-03,25.62,32.34,24,3.2,554,Ebook,Hachette
B103217,Enjoy cup leader develop her.,Laura Stuart,Biography,1995-06-22,6.73,7.49,209,3.9,2369,Ebook,Simon & Schuster
B673166,Kind believe add.,Meagan Peck,Mystery,1979-05-19,9.52,13.55,347,3.2,4672,Audiobook,Hachette
B398225,Avoid soldier possible.,Harold Allen,Science Fiction,1992-06-02,37.59,44.55,125,4.1,3900,Audiobook,Macmillan
B527013,Compare science statement data positive.,Brian Jordan,Self-Help,1999-04-18,15.89,18.5,100,3.7,4111,Paperback,Hachette
B205690,True particular movement choice response.,Nicole Lee,Biography,2020-09-24,42.97,48.65,456,4.2,3064,Hardcover,Penguin
B238253,Deep week raise.,Kenneth Smith,Biography,1976-04-01,44.9,53.14,372,3.8,2785,Audiobook,Penguin
B660535,People much forget.,Kathleen Knight,History,1975-07-12,19.52,23.69,39,4.6,2285,Hardcover,Macmillan
B126485,White forward at else.,Mary Nelson,Biography,2000-08-22,9.68,11.69,272,4.9,16,Hardcover,Macmillan
B160605,Respond matter manage care chair.,Zoe Cole,Biography,1983-05-03,20.91,29.34,28,3.2,166,Ebook,Pearson
B190450,Foreign here respond theory.,John Bowen,Self-Help,1983-12-28,30.25,44.85,76,4.6,986,Ebook,Hachette
B951705,Majority floor worker necessary.,Brenda Kramer,Romance,1998-10-09,20.44,27.37,475,3.5,1076,Hardcover,HarperCollins
B464009,Friend investment act light.,Curtis Hammond,Mystery,1982-09-16,45.25,64.64,5,3.8,1345,Hardcover,Pearson
B190984,Politics bill page economic.,Jordan Warner,Fantasy,1992-05-18,9.63,12.73,291,4.3,2941,Hardcover,Hachette
B366475,Where explain gun price probably.,Linda Spencer,Science Fiction,2018-04-25,32.6,47.76,167,3.2,220,Hardcover,HarperCollins
B113436,Nature too plant.,James Fernandez,History,2009-09-20,45.06,55.04,462,4.7,16,Ebook,HarperCollins
B298815,Expert total.,Richard Coffey,Fantasy,2008-12-02,16.55,22.05,236,3.7,3445,Ebook,Penguin
B691752,Measure attack that country owner.,Cody Richard,Biography,1975-12-26,33.69,38.52,389,3.8,3492,Audiobook,Penguin
B190896,Investment miss room human pressure.,Dr. Amy Reyes,Self-Help,1975-03-14,48.44,60.24,411,3.6,55,Paperback,Simon & Schuster
B537944,Thousand two study benefit.,Kathy Becker,Romance,2021-10-09,21.9,28.05,421,3.2,3231,Audiobook,Penguin
B476711,Other quite physical.,Carrie Pearson,Biography,2009-03-10,13.39,15.51,175,3.1,2776,Ebook,Pearson
B300151,During prepare southern.,Adam Hughes,Thriller,1985-11-04,11.66,16.15,175,4.5,4651,Audiobook,Macmillan
B443011,Pm audience full natural with.,Kyle Baker,Thriller,1990-04-25,12.11,15.52,117,4.2,2116,Paperback,Simon & Schuster
B234702,Every eight successful instead cup.,Dominique Young,Biography,1988-06-23,26.24,34.65,30,4.9,769,Hardcover,Oxford Press
B797778,Forget knowledge peace brother nor.,Susan Lopez,Thriller,2011-12-11,32.7,40.81,256,3.4,273,Hardcover,Pearson
B884445,But determine imagine.,George Brown,Fantasy,2015-11-11,12.51,14.11,178,3.1,921,Audiobook,Penguin
B976690,Red though method.,Natasha Lara,Fiction,2002-09-02,9.82,12.52,166,4.7,2027,Hardcover,HarperCollins
B385627,Above there.,Jerry Jensen,Mystery,2000-12-16,5.19,7.01,160,3.5,1205,Hardcover,Simon & Schuster
B563804,Accept tonight set give.,Sara May DDS,Fiction,1984-03-29,38.34,55.97,430,4.7,4896,Ebook,HarperCollins
B223706,Collection outside we.,Robert Graves,Mystery,1989-04-13,35.78,46.64,49,4.6,1483,Ebook,Pearson
B376481,Artist six any.,Shelly Lee,Science Fiction,1992-12-19,25.95,31.64,460,4.8,2076,Audiobook,Penguin
B252492,State alone power together.,Matthew Fox,Fantasy,2019-01-01,12.29,14.82,472,3.2,4094,Audiobook,Pearson
B939697,Offer medical resource pick might.,Michael Patton,Self-Help,1982-08-05,29.75,34.38,364,4.5,3503,Ebook,HarperCollins
B410944,Develop small understand.,Linda Campbell,Self-Help,1983-01-07,42.62,59.96,150,4.8,2547,Audiobook,Pearson
B212169,Rich capital answer.,Andrew Hood,Self-Help,1992-05-30,41.78,46.76,390,4.2,1885,Hardcover,Macmillan
B572466,Everyone everything safe south child.,Gabrielle Smith,Mystery,2009-03-16,45.87,68.77,63,3.6,2314,Hardcover,HarperCollins
B921965,Glass fire.,Anita Mahoney,Thriller,1995-05-26,19.0,21.74,207,4.4,4552,Audiobook,HarperCollins
